1 
1  40
0.0     5.38    100.0   1       ;
2.2922933       5.4029365       99.5754813      1       ;
4.5845866       5.46602         95.3898266      1       ;
6.8768799       5.5606617       92.1950666      1       ;
9.1691733       5.6782729       87.936815       1       ;
11.4614666      5.8102645       82.8304853      1       ;
13.7537599      5.9480479       76.9727248      1       ;
16.0460532      6.0830341       70.4569148      1       ;
18.3383465      6.2066343       63.4153719      1       ;
20.6306398      6.3102597       56.179574       1       ;
22.9229332      6.3853215       49.4188537      1       ;
25.2152265      6.4232308       43.8609624      1       ;
27.5075198      6.4153987       39.5878592      1       ;
29.7998131      6.3532364       36.4129192      1       ;
32.0921064      6.2281552       33.9695656      1       ;
34.3843997      6.0315661       32.1524775      1       ;
36.676693       5.7548917       30.9558359      1       ;
38.9689864      5.4477533       30.0440917      1       ;
41.2612797      5.1512142       29.1541729      1       ;
43.553573       4.8672812       28.3054495      1       ;
45.8458663      4.6028521       27.4818615      1       ;
48.1381596      4.3619098       26.6772373      1       ;
50.4304529      4.1464964       25.8868221      1       ;
52.7227462      3.9575762       25.1074771      1       ;
55.0150396      3.7954609       24.3249067      1       ;
57.3073329      3.656202        24.1    1       ;
59.5996262      3.5258485       24.1    1       ;
61.8919195      3.4022733       24.1    1       ;
64.1842128      3.283999        24.1    1       ;
66.4765061      3.1693009       24.1    1       ;
68.7687995      3.0560359       24.1    1       ;
71.0610928      2.9413972       24.1    1       ;
73.3533861      2.8215541       24.1    1       ;
75.6456794      2.6911095       24.1    1       ;
77.9379727      2.5422489       24.1    1       ;
80.230266       2.3632908       24.1    1       ;
82.5225593      2.1358306       24.1    1       ;
84.8148527      1.8483944       24.1    1       ;
87.107146       1.5184097       24.1    1       ;
89.3994393      1.1117843       24.1    1       ;
