1
1   40
0.0000E+00	5.3800E+00	1.0000E+02	1	;
2.0726E+00	5.3800E+00	9.9917E+01	1	;
4.8830E+00	5.3800E+00	9.6509E+01	1	;
5.5918E+00	5.3818E+00	9.4734E+01	1	;
6.5483E+00	5.3951E+00	9.1893E+01	1	;
7.7462E+00	5.4340E+00	8.7730E+01	1	;
9.1794E+00	5.5070E+00	8.2090E+01	1	;
1.0837E+01	5.6172E+00	7.5025E+01	1	;
1.2713E+01	5.7595E+00	6.6873E+01	1	;
1.4793E+01	5.9178E+00	5.8387E+01	1	;
1.7065E+01	6.0632E+00	5.0658E+01	1	;
1.9516E+01	6.1625E+00	4.4505E+01	1	;
2.2131E+01	6.2000E+00	3.9902E+01	1	;
2.4895E+01	6.1745E+00	3.6462E+01	1	;
2.7790E+01	6.0891E+00	3.3765E+01	1	;
3.0799E+01	5.9497E+00	3.1629E+01	1	;
3.3906E+01	5.7647E+00	2.9921E+01	1	;
3.7090E+01	5.5448E+00	2.8495E+01	1	;
4.0332E+01	5.2994E+00	2.7282E+01	1	;
4.3613E+01	5.0348E+00	2.6279E+01	1	;
4.6915E+01	4.7572E+00	2.5482E+01	1	;
5.0215E+01	4.4735E+00	2.4884E+01	1	;
5.3496E+01	4.1906E+00	2.4469E+01	1	;
5.6737E+01	3.9140E+00	2.4220E+01	1	;
5.9918E+01	3.6471E+00	2.4117E+01	1	;
6.3022E+01	3.3929E+00	2.4100E+01	1	;
6.6028E+01	3.1538E+00	2.4100E+01	1	;
6.8919E+01	2.9320E+00	2.4100E+01	1	;
7.1678E+01	2.7282E+00	2.4100E+01	1	;
7.4288E+01	2.5429E+00	2.4100E+01	1	;
7.6734E+01	2.3730E+00	2.4100E+01	1	;
7.9000E+01	2.2029E+00	2.4100E+01	1	;
8.1073E+01	2.0144E+00	2.4100E+01	1	;
8.2941E+01	1.7992E+00	2.4100E+01	1	;
8.4593E+01	1.4981E+00	2.4100E+01	1	;
8.6018E+01	1.0046E+00	2.4100E+01	1	;
8.7209E+01	4.1914E-01	2.4100E+01	1	;
8.8157E+01	-4.7098E-02	2.4100E+01	1	;
8.8858E+01	-3.9156E-01	2.4100E+01	1	;
8.9500E+01	-7.0748E-01	2.4100E+01	1	;
