,path,filename,subfolder,ichan,names,units,desc,mean,max,min,std,1%,50%,99%,del3,del4,del5,del8,del10,del12
0,A5 Individual design\Part 4\tca\individual_design_control_turb_tca_05.0_14592.hdf5,individual_design_control_turb_tca_05.0_14592.hdf5,.,1,Time,s,Time,400.00500000000005,700.0,100.01,173.20652412654667,106.0099,400.005,694.0001,56.461220696832804,101.94095564658248,145.3141021479786,247.3126644116573,295.27446240365197,332.31165620359167
1,A5 Individual design\Part 4\tca\individual_design_control_turb_tca_05.0_14592.hdf5,individual_design_control_turb_tca_05.0_14592.hdf5,.,2,bea1 angle,deg,shaft_rot angle,179.9961645241831,359.9981384277344,0.0043965731747448444,103.92512280963751,3.593798894882202,180.00982666015625,356.4028903198242,166.8877061810887,202.20817161571088,226.90201635623964,269.73284781998024,285.74698436015814,296.9524120415089
2,A5 Individual design\Part 4\tca\individual_design_control_turb_tca_05.0_14592.hdf5,individual_design_control_turb_tca_05.0_14592.hdf5,.,3,bea1 angle_speed,rpm,shaft_rot angle speed,5.999755832012494,6.077526092529297,5.945334434509277,0.020606635351835878,5.957391538619995,5.998852252960205,6.053200860023499,0.042156717277995616,0.04898604091356989,0.0550463142332385,0.06903344754710466,0.07596875393644269,0.08166233980799668
3,A5 Individual design\Part 4\tca\individual_design_control_turb_tca_05.0_14592.hdf5,individual_design_control_turb_tca_05.0_14592.hdf5,.,4,bea2 angle,deg,pitch1 angle,1.306380618806414,2.3081676959991455,0.00018915340478997678,0.839213490194796,0.00021855131490156054,1.3214399814605713,2.3069357872009277,0.31122627273081493,0.4897259735848198,0.6492450113020524,1.0100190561791942,1.1784593914568835,1.3094240281049756
4,A5 Individual design\Part 4\tca\individual_design_control_turb_tca_05.0_14592.hdf5,individual_design_control_turb_tca_05.0_14592.hdf5,.,5,bea2 angle_speed,deg/s,pitch1 angle speed,-0.00023936019251080107,0.18889035284519196,-0.16234710812568665,0.04434952626535659,-0.12648374021053313,-8.144479579641484e-08,0.13729308545589447,0.057512982710627505,0.08351126938001256,0.10603595171249132,0.15621028491604205,0.17992329915759198,0.1987811797400835
5,A5 Individual design\Part 4\tca\individual_design_control_turb_tca_05.0_14592.hdf5,individual_design_control_turb_tca_05.0_14592.hdf5,.,6,bea2 angle,deg,pitch2 angle,1.306381788722691,2.30812931060791,0.00018916305270977318,0.8392120349540604,0.0002185608318541199,1.3215003609657288,2.306931972503662,0.31122109523687075,0.4897178266078943,0.6492342106004123,1.010002253717432,1.178439786857602,1.3094022448059104
6,A5 Individual design\Part 4\tca\individual_design_control_turb_tca_05.0_14592.hdf5,individual_design_control_turb_tca_05.0_14592.hdf5,.,7,bea2 angle_speed,deg/s,pitch2 angle speed,-0.0002392535630508121,0.18885168433189392,-0.16234248876571655,0.04434611898517075,-0.12648779332637786,2.879594092064508e-07,0.1372912722826004,0.05750589458654198,0.08350097712577696,0.10602288342863883,0.15619103295186393,0.1799011247091422,0.19875668117295206
7,A5 Individual design\Part 4\tca\individual_design_control_turb_tca_05.0_14592.hdf5,individual_design_control_turb_tca_05.0_14592.hdf5,.,8,bea2 angle,deg,pitch3 angle,1.3063810271785805,2.3081448078155518,0.00018916056433226913,0.839213181775233,0.0002185583725804463,1.321491539478302,2.3069443702697754,0.3112231853397601,0.48972111546157426,0.6492385707364065,1.010009036704386,1.1784477010396455,1.3094110385074207
8,A5 Individual design\Part 4\tca\individual_design_control_turb_tca_05.0_14592.hdf5,individual_design_control_turb_tca_05.0_14592.hdf5,.,9,bea2 angle_speed,deg/s,pitch3 angle speed,-0.00023943612809224912,0.1888587474822998,-0.16234201192855835,0.04434707527339382,-0.1264930784702301,-1.8412879398965742e-07,0.13728469610214233,0.05750697305499147,0.0835025431073164,0.1060248717871458,0.15619396216637912,0.17990449858391494,0.19876040866578235
9,A5 Individual design\Part 4\tca\individual_design_control_turb_tca_05.0_14592.hdf5,individual_design_control_turb_tca_05.0_14592.hdf5,.,10,Omega,rad/s,Rotor speed,0.628293525865674,0.6357449889183044,0.6226716041564941,0.0021054959828594325,0.6240257012844086,0.6282056570053101,0.6339071625471115,0.0039851620467737225,0.004720928593799416,0.005351273344840436,0.006772754834403983,0.007465666061606865,0.008028717633755464
