1 
1  40
0.0             5.38            100.0           1       ;
2.2922933       5.3989593       99.6488342      1       ;
4.5845866       5.4509641       95.6532992      1       ;
6.8768799       5.5287048       92.7279717      1       ;
9.1691733       5.6248717       88.771666       1       ;
11.4614666      5.7321552       83.9591766      1       ;
13.7537599      5.8432457       78.3532782      1       ;
16.0460532      5.9508334       72.0221492      1       ;
18.3383465      6.0476089       65.0829161      1       ;
20.6306398      6.1262625       57.8668816      1       ;
22.9229332      6.1794844       51.0649835      1       ;
25.2152265      6.1999651       45.4404303      1       ;
27.5075198      6.180395        41.0931503      1       ;
29.7998131      6.1134644       37.8410458      1       ;
32.0921064      5.9918636       35.3091691      1       ;
34.3843997      5.8082831       33.3884883      1       ;
36.676693       5.5554132       32.0673686      1       ;
38.9689864      5.2681451       31.0683926      1       ;
41.2612797      4.9977994       30.0491029      1       ;
43.553573       4.7353172       29.0942668      1       ;
45.8458663      4.4839031       28.2109008      1       ;
48.1381596      4.2506235       27.3756789      1       ;
50.4304529      4.0387233       26.5776104      1       ;
52.7227462      3.8494513       25.8127056      1       ;
55.0150396      3.6825303       25.0708684      1       ;
57.3073329      3.5373614       24.3387176      1       ;
59.5996262      3.4104774       24.1            1       ;
61.8919195      3.2907627       24.1            1       ;
64.1842128      3.1760129       24.1            1       ;
66.4765061      3.0645343       24.1            1       ;
68.7687995      2.954225        24.1            1       ;
71.0610928      2.8423421       24.1            1       ;
73.3533861      2.7251618       24.1            1       ;
75.6456794      2.5974707       24.1            1       ;
77.9379727      2.4517663       24.1            1       ;
80.230266       2.2768944       24.1            1       ;
82.5225593      2.0553426       24.1            1       ;
84.8148527      1.7787384       24.1            1       ;
87.107146       1.4611891       24.1            1       ;
89.3994393      1.0698872       24.1            1       ;
